City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Sar-E Pul,35.8333,66.1667,64.17,15,5,6.2,AF,2021-04-23 07:45:52
118,Uinskoye,56.8817,56.5813,40.28,94,100,6.26,RU,2021-04-23 07:45:52
119,Ahipara,-35.1667,173.1667,61.48,92,1,4.03,NZ,2021-04-23 07:45:53
120,Bandiagara,14.3501,-3.6104,92.82,26,81,9.48,ML,2021-04-23 07:45:53
121,Kahului,20.8947,-156.47,73.4,78,1,14.97,US,2021-04-23 07:45:54
122,Port Augusta,-32.5,137.7667,64.4,72,40,10.36,AU,2021-04-23 07:45:54
123,Shingu,33.7333,135.9833,64.4,72,75,16.11,JP,2021-04-23 07:45:55
124,Tasiilaq,65.6145,-37.6368,28.4,69,90,2.3,GL,2021-04-23 07:45:55
125,Amapa,1.0,-52.0,71.49,99,100,0.69,BR,2021-04-23 07:45:56
126,Arman,59.7,150.1667,32.16,98,100,4.56,RU,2021-04-23 07:45:56
127,Talnakh,69.4865,88.3972,34.47,96,92,13.04,RU,2021-04-23 07:45:56
128,Celestun,20.8667,-90.4,76.57,69,100,14.61,MX,2021-04-23 07:45:57
129,Tiksi,71.6872,128.8694,18.43,84,85,0.81,RU,2021-04-23 07:45:57
130,Kingsport,36.5484,-82.5618,33.01,86,1,2.21,US,2021-04-23 07:43:20
131,Takoradi,4.8845,-1.7554,82.17,82,100,5.37,GH,2021-04-23 07:45:58
132,Pevek,69.7008,170.3133,25.79,91,100,9.37,RU,2021-04-23 07:45:58
133,Ribeira Grande,38.5167,-28.7,59.0,67,40,28.77,PT,2021-04-23 07:45:59
134,Mareeba,-17.0,145.4333,77.0,83,90,9.22,AU,2021-04-23 07:45:59
135,Vizinga,61.0749,50.1031,53.04,60,62,9.22,RU,2021-04-23 07:46:00
136,Esperance,-33.8667,121.9,68.0,60,75,10.36,AU,2021-04-23 07:46:00
137,Yellowknife,62.456,-114.3525,12.2,62,90,4.61,CA,2021-04-23 07:43:08
138,Regina,50.4501,-104.6178,24.8,58,90,14.97,CA,2021-04-23 07:45:02
139,Solnechnyy,50.7214,136.6319,49.86,86,100,8.99,RU,2021-04-23 07:46:01
140,Bosaso,11.2842,49.1816,93.2,49,0,27.63,SO,2021-04-23 07:46:02
141,Los Llanos De Aridane,28.6585,-17.9182,68.0,73,20,3.44,ES,2021-04-23 07:46:02
142,Tigil,57.8,158.6667,33.6,99,100,6.53,RU,2021-04-23 07:46:03
143,Isabela,6.7085,121.9711,87.8,55,20,14.97,PH,2021-04-23 07:43:25
144,Saint-Denis,48.9167,2.3333,51.01,57,0,10.36,FR,2021-04-23 07:46:03
145,Berlevag,70.8578,29.0864,35.6,80,75,4.61,NO,2021-04-23 07:46:04
146,Airai,-8.9266,125.4092,66.78,79,80,2.15,TL,2021-04-23 07:46:04
147,Cedar Falls,42.5278,-92.4455,50.0,40,90,12.66,US,2021-04-23 07:46:05
148,Kenai,60.5544,-151.2583,44.6,65,90,4.07,US,2021-04-23 07:46:05
149,Port Alfred,-33.5906,26.891,72.37,66,0,22.86,ZA,2021-04-23 07:45:21
150,Tukrah,32.5341,20.5791,78.82,25,15,23.38,LY,2021-04-23 07:46:06
151,Mar Del Plata,-38.0023,-57.5575,68.0,94,0,10.36,AR,2021-04-23 07:45:00
152,Mount Isa,-20.7333,139.5,82.4,17,7,12.66,AU,2021-04-23 07:46:07
